Training epoch: 097, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 098, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 099, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 100, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 101, Train Acc: 0.5613, Test Acc: 0.6038
Reached accuracy of  0.5613207547169812  starting testing
Testing epoch: 001, Train Acc: 0.5613, Test Acc: 0.5698
Testing epoch: 002, Train Acc: 0.5613, Test Acc: 0.5698
Testing epoch: 003, Train Acc: 0.5613, Test Acc: 0.5698
Testing epoch: 004, Train Acc: 0.5613, Test Acc: 0.5698
Testing epoch: 005, Train Acc: 0.5613, Test Acc: 0.5698
Testing epoch: 006, Train Acc: 0.5613, Test Acc: 0.5698
Testing epoch: 007, Train Acc: 0.5613, Test Acc: 0.5698
Testing epoch: 008, Train Acc: 0.5613, Test Acc: 0.5698
Testing epoch: 009, Train Acc: 0.5613, Test Acc: 0.5698
Testing epoch: 010, Train Acc: 0.5613, Test Acc: 0.5698
